datetime,instrument,score
2019-01-02,SH600115,0.28474632
2019-01-02,SH600219,0.30920833
2019-01-02,SH601998,0.15590082
2019-01-02,SZ002468,0.150507
2019-01-02,SH600100,-0.041829094
2019-01-02,SH601828,0.16611576
2019-01-02,SZ300408,0.1481424
2019-01-02,SH601018,0.053975325
2019-01-02,SH600038,0.22205633
2019-01-02,SZ002241,0.3162813
2019-01-02,SH601228,0.39388376
2019-01-02,SH600031,0.22313216
2019-01-02,SH600438,0.25544557
2019-01-02,SH600535,0.15844294
2019-01-02,SZ300433,0.09415932
2019-01-02,SZ300124,0.5555649
2019-01-02,SH600153,0.041686557
2019-01-02,SH600415,0.10175402
2019-01-02,SH601117,0.31842846
2019-01-02,SH601766,0.24605878
2019-01-02,SZ002304,0.14979333
2019-01-02,SH600583,0.42164788
2019-01-02,SH601628,0.04941571
2019-01-02,SH601318,0.3650669
2019-01-02,SH600362,0.08928164
2019-01-02,SH601169,0.22667626
2019-01-02,SZ000338,0.5550051
2019-01-02,SH601991,0.11711537
2019-01-02,SH601939,-0.22710262
2019-01-02,SH600025,0.4618476
2019-01-02,SH600221,0.2003707
2019-01-02,SH600066,0.22967288
2019-01-02,SZ000100,0.13595174
2019-01-02,SH600352,0.22285737
2019-01-02,SZ000425,-0.030236691
2019-01-02,SH600000,0.2669537
2019-01-02,SH601898,0.11535887
2019-01-02,SZ002572,0.1164082
2019-01-02,SH600176,-0.30377477
2019-01-02,SH600297,0.044445597
2019-01-02,SH600760,0.21796253
2019-01-02,SH600011,0.48517656
2019-01-02,SH601600,0.15388164
2019-01-02,SH601288,0.062278748
2019-01-02,SZ000898,0.17133737
2019-01-02,SZ000709,0.31815112
2019-01-02,SZ002081,0.6036263
2019-01-02,SZ000768,0.095466614
2019-01-02,SH601328,0.41025227
2019-01-02,SZ000538,0.19553788
2019-01-02,SH603259,0.20782165
2019-01-02,SZ000876,0.092350416
2019-01-02,SH601398,0.27096865
2019-01-02,SZ000792,0.41239694
2019-01-02,SH600004,0.037821695
2019-01-02,SH601212,0.05473593
2019-01-02,SH601390,0.13246143
2019-01-02,SH600170,0.0716888
2019-01-02,SZ002450,0.1204125
2019-01-02,SZ002493,0.29752612
2019-01-02,SH600498,0.16572616
2019-01-02,SH601633,0.24258733
2019-01-02,SH600019,0.14915562
2019-01-02,SH601111,0.24122609
2019-01-02,SH600028,0.015995145
2019-01-02,SZ000858,0.1625218
2019-01-02,SZ000408,0.08697051
2019-01-02,SZ002311,-0.07775049
2019-01-02,SH600018,0.40151632
2019-01-02,SZ000157,0.09374596
2019-01-02,SH601138,-0.12848899
2019-01-02,SH600339,0.11889999
2019-01-02,SH600346,0.21872525
2019-01-02,SH601857,0.18400559
2019-01-02,SH601808,-0.09632724
2019-01-02,SZ002008,0.038831346
2019-01-02,SH601607,0.06086191
2019-01-02,SH601229,0.22807017
2019-01-02,SZ000959,0.1495378
2019-01-02,SH600690,0.2826348
2019-01-02,SZ002411,0.2622195
2019-01-02,SH600085,0.2872542
2019-01-02,SH600887,0.10988043
2019-01-02,SZ002624,-0.010745376
2019-01-02,SH601899,0.12268435
2019-01-02,SH600741,0.09103246
2019-01-02,SH601618,0.2120797
2019-01-02,SH601238,0.098310605
2019-01-02,SH600050,5.7965517e-06
2019-01-02,SH601985,0.19580048
2019-01-02,SZ300142,0.08798303
2019-01-02,SH601988,0.023592938
2019-01-02,SH603156,0.15967512
2019-01-02,SH600998,-0.017978303
2019-01-02,SH600688,0.1260201
2019-01-02,SH600795,0.6008929
2019-01-02,SZ002558,0.45824498
2019-01-02,SH603288,0.19042718
2019-01-02,SZ002352,0.0075062737
2019-01-02,SH601021,0.3914985
2019-01-02,SH600867,-0.07737677
2019-01-02,SH600886,0.09341776
2019-01-02,SH600398,0.16841666
2019-01-02,SH600585,-0.111652315
2019-01-02,SH600482,0.096559316
2019-01-02,SZ002602,0.3762972
2019-01-02,SH600893,0.12925532
2019-01-02,SZ002179,0.051231064
2019-01-02,SH601006,0.052549884
2019-01-02,SH600118,0.35360438
2019-01-02,SH600023,0.46774185
2019-01-02,SH600660,0.12074984
2019-01-02,SZ002085,0.24236348
2019-01-02,SH601933,0.20943172
2019-01-02,SH600009,0.13368455
2019-01-02,SZ002925,0.05088325
2019-01-02,SH601888,0.32797748
2019-01-02,SH603160,0.08273183
2019-01-02,SH600674,0.37227497
2019-01-02,SH600104,0.29529542
2019-01-02,SH600547,0.2798499
